product_id,product_name,plastik,metal,glas,træ
airless-dispenser,Airless dispenser,76.51,0.61,0,0
bambus,Bambus,34,0,0,22.2
creme-krukke,Creme krukke,80,0,0,0
creme-pumpe,Creme pumpe,11.5,0.5,0.06,0
deo-roll-on,Deo roll-on,31.19,0,0,0
emballage-sæt,Emballage sæt,100,0,0,0
glasemballage,Glasemballage,6.5,0.5,41.45,0
kapsler,Kapsler,4.28,0,0,0
lotion-pumpe,Lotion pumpe,8.809,1.132,0.058,0
make-up-emballage,Make-up emballage,8.95,18.99,0,0
make-up-fjerner-pumpe,Make-up fjerner pumpe,23.01,0.5,0.06,0
mist-sprayer,Mist sprayer,7.37,0.35,0.06,0
parfume-forstøver,Parfume forstøver,26.01,0.5,0.06,0
pet-flaske,PET flaske,60,0,0,0
pet-krukke,PET krukke,50,0,0,0
pharma-emballage,Pharma emballage,34.77,0,0,0
pipette-flaske,Pipette flaske,5.59,0,44.82,0
pp-pe-flaske,PP & PE flaske,70,0,0,0
premium-emballage,Premium emballage,26.01,0.5,0.06,0
skumpumpe,Skumpumpe,22.09,0.13,0.03,0
spande,Spande,25,0,0,0
sprayflaske,Sprayflaske,26.01,0.5,0.06,0
trigger-sprayer,Trigger sprayer,17.09,2.26,0.05,0
tube,Tube,21.39,0,0,0
tube1,Tube1,21.39,0,0,0
